Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,-165.330659,-111.140008,-110,bottom
C3,0.1uF,C_0402_1005Metric,-139.03412,-107.294249,-70,bottom
C5,0.1uF,C_0402_1005Metric,-137.38412,-105.694249,110,bottom
C6,1uF,C_0402_1005Metric,-151.95,-111.75,0,bottom
C7,10uF,C_0603_1608Metric,-160.9875,-98.3,0,bottom
C8,1uF,C_0402_1005Metric,-138.15,-109.2,20,bottom
C9,1uF,C_0402_1005Metric,-139.494249,-111.71588,-160,bottom
C10,1nF,C_0402_1005Metric,-169.53412,-109.205751,-110,bottom
C12,1uF,C_0402_1005Metric,-170.763924,-105.793231,70,bottom
C17,0.47uF,C_0402_1005Metric,-150.7,-102.25,180,bottom
C18,0.1uF,C_0402_1005Metric,-159.375,-88.825,90,bottom
C19,1uF,C_0402_1005Metric,-153.4,-106.34,90,bottom
C20,15nF,C_0402_1005Metric,-155.7,-100.225,180,bottom
C21,4.7nF,C_0402_1005Metric,-151.97,-106.8058,180,bottom
C22,22uF,C_0603_1608Metric,-161,-96.8,180,bottom
J8, ‎SAM16035-ND‎,SAMTEC_T1M-10-F-SH-L-K,-152.4,-119.6,0,bottom
R2,1K,R_0402_1005Metric,-139.71588,-109.105751,-70,bottom
R4,1K,R_0402_1005Metric,-138.33412,-105.344249,110,bottom
R6,1K,R_0402_1005Metric,-144.595,-88.75,180,bottom
R7,100K,R_0402_1005Metric,-165.844249,-109.23412,-20,bottom
R9,15K,R_0402_1005Metric,-168.544249,-110.38412,160,bottom
R10,10K,R_0402_1005Metric,-139.575,-101.1,-70,bottom
R11,1M,R_0402_1005Metric,-142.15,-100.825,180,bottom
R12,1M,R_0402_1005Metric,-135.955751,-102.83412,-160,bottom
R13,1K,R_0402_1005Metric,-134.15,-103.5,-160,bottom
R14,1M,R_0402_1005Metric,-146.325,-112.45,0,bottom
R15,10K,R_0402_1005Metric,-138.08412,-107.644249,-70,bottom
R16,100K,R_0402_1005Metric,-136.45,-106.05,-70,bottom
R17,10K,R_0402_1005Metric,-136.905751,-104.28412,-160,bottom
R18,470K,R_0402_1005Metric,-137.855751,-102.13412,20,bottom
R20,887K,R_0402_1005Metric,-146.94,-113.45,180,bottom
R22,32.4K,R_0402_1005Metric,-151.97,-104.9,0,bottom
R23,100K,R_0402_1005Metric,-150.3,-99.325,0,bottom
R24,309K,R_0402_1005Metric,-149.75,-100.815,90,bottom
R25,6.04K,R_0402_1005Metric,-151.97,-105.85,180,bottom
R26,3.01K,R_0402_1005Metric,-152.4,-109.8,180,bottom
R27,3.01K,R_0402_1005Metric,-152.585,-108.75,180,bottom
R28,4.99K,R_0402_1005Metric,-155.81,-99.25,180,bottom
R30,26.7K,R_0402_1005Metric,-151.97,-107.79,180,bottom
R31,0.05,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,-156.1625,-112.8,0,bottom
R33,100K,R_0402_1005Metric,-142.95,-93.385,90,bottom
R34,300K,R_0402_1005Metric,-143.95,-93.385,-90,bottom
R35,DNP,R_0402_1005Metric,-145,-96.035,-90,bottom
R36,DNP,R_0402_1005Metric,-144.5,-91.85,180,bottom
TH1,10K,R_0402_1005Metric,-137.13412,-107.994249,110,bottom
TH2,10K,R_0402_1005Metric,-150.75,-100.775,-90,bottom
U6,MP3213,MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm,-168.199895,-106.142334,70,bottom
U8,MCP3221,SOT-23-5,-142.6,-98.15,90,bottom
C2,0.1uF,C_0402_1005Metric,142.925,-106.35,-70,top
C4,0.1uF,C_0402_1005Metric,142.44,-103.68,-160,top
C11,10uF,C_0603_1608Metric,169.840008,-105.119341,-20,top
C13,0.1uF,C_0402_1005Metric,153.3,-115.6,0,top
C14,4.7uF,C_0603_1608Metric,147.3,-109.05,-90,top
C15,10uF,C_0603_1608Metric,150.3,-109.5875,-90,top
C16,10uF,C_0603_1608Metric,153.2,-109.5,-90,top
C23,22uF,C_0603_1608Metric,148.8,-109.05,-90,top
C24,1uF,C_0402_1005Metric,159.1,-111.985,90,top
C25,4.7uF,C_0603_1608Metric,157.85,-113.15,90,top
D1,30V 5A,D_SMA,161.425,-95.55,-90,top
D2,30V 5A,D_SMA,157.45,-109.25,180,top
D3,60V 3A,D_SOD-123EP,162.15,-107.05,-90,top
D4,60V 3A,D_SOD-123EP,168.654277,-102.592182,160,top
J9,Molex 087340-1424,Molex_87340-1424_B,153.9,-88.6098,0,top
L1,4.7uH,L_1008_2520Metric,151.925,-117.45,0,top
L2,10uH,Inductor5x5mm,166.297232,-109.396492,-110,top
L3,10uH,Inductor5x5mm,162.175,-101.875,0,top
Q1,FDC645N,SOT-23-6_mosfet,147.8264,-88.392,0,top
Q2,FDC645N,SOT-23-6_mosfet,142.2,-99.8,0,top
Q3,FDC645N,SOT-23-6_mosfet,142.2,-96.15,180,top
Q4,Si3483CDV,SOT-23-6_mosfet,156.9,-88.35,0,top
Q5,Si3483CDV,SOT-23-6_mosfet,156.6,-102.1,180,top
Q6,FDC645N,SOT-23-6_mosfet,156.6,-105.7,0,top
R1,1K,R_0402_1005Metric,143.65,-108.15,-70,top
R3,1K,R_0402_1005Metric,142.794249,-104.67588,20,top
R5,1K,R_0402_1005Metric,143.5,-110.025,20,top
R8,0.02,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,145.3,-101.9875,-90,top
R19,390K,R_0402_1005Metric,145.235,-111.5,0,top
R21,110K,R_0402_1005Metric,167.544249,-104.06588,-20,top
R29,0.25,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,156.0625,-99.15,0,top
R32,10K,R_0402_1005Metric,167.2,-105,160,top
U1,AP63205,TSOT-23-6,156.4,-116.35,180,top
U2,TPS70933DBV,SOT-23-5,151.45,-113.2,-90,top
U3,BQ77915,TSSOP-24_4.4x7.8mm_P0.65mm,138.514461,-106.922366,-160,top
U4,LTC6994xS6-1,TSOT-23-6,147.725,-117.125,90,top
U5,LTC4007,SSOP-24_3.9x8.7mm_P0.635mm,150.15,-102.875,0,top
U7,TPS70933DBV,SOT-23-5,155.15,-112.8,0,top
