Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,0.1uF,C_0402_1005Metric,142.925,-106.35,-70,top
C4,0.1uF,C_0402_1005Metric,142.44,-103.68,-160,top
C11,10uF,C_0603_1608Metric,169.840008,-105.119341,-20,top
C13,0.1uF,C_0402_1005Metric,153.3,-115.6,0,top
C14,4.7uF,C_0603_1608Metric,147.3,-109.05,-90,top
C15,10uF,C_0603_1608Metric,150.3,-109.5875,-90,top
C16,10uF,C_0603_1608Metric,153.2,-109.5,-90,top
C23,22uF,C_0603_1608Metric,148.8,-109.05,-90,top
C24,1uF,C_0402_1005Metric,159.1,-111.985,90,top
C25,4.7uF,C_0603_1608Metric,157.85,-113.15,90,top
D1,30V 5A,D_SMA,161.425,-95.55,-90,top
D2,30V 5A,D_SMA,157.45,-109.25,180,top
D3,CRS08,D_SOD-123,162.15,-107.05,-90,top
D4,60V 3A,D_SOD-123EP,168.654277,-102.592182,160,top
J9,Molex 087340-1424,Molex_87340-1424_B,153.9,-88.6098,0,top
L1,4.7uH,L_1008_2520Metric,151.925,-117.45,0,top
L2,10uH,MPL-SE6040-100,166.4,-109.15,-110,top
L3,10uH,MPL-SE6040-100,162.175,-101.875,0,top
Q1,FDC645N,SOT-23-6_mosfet,147.8264,-88.392,0,top
Q2,FDC645N,SOT-23-6_mosfet,142.2,-99.8,0,top
Q3,FDC645N,SOT-23-6_mosfet,142.2,-96.15,180,top
Q4,Si3483CDV,SOT-23-6_mosfet,156.9,-88.35,0,top
Q5,Si3483CDV,SOT-23-6_mosfet,156.6,-102.1,180,top
Q6,FDC645N,SOT-23-6_mosfet,156.6,-105.7,0,top
R1,1K,R_0402_1005Metric,143.65,-108.15,-70,top
R3,1K,R_0402_1005Metric,142.794249,-104.67588,20,top
R5,1K,R_0402_1005Metric,143.5,-110.025,20,top
R8,0.02,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,145.3,-101.9875,-90,top
R19,390K,R_0402_1005Metric,145.235,-111.5,0,top
R21,110K,R_0402_1005Metric,167.544249,-104.06588,-20,top
R29,0.25,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,156.0625,-99.15,0,top
R32,10K,R_0402_1005Metric,167.2,-105,160,top
U1,AP63205,TSOT-23-6,156.4,-116.35,180,top
U2,TPS70933DBV,SOT-23-5,151.45,-113.2,-90,top
U3,BQ77915,TSSOP-24_4.4x7.8mm_P0.65mm,138.514461,-106.922366,-160,top
U4,LTC6994xS6-1,TSOT-23-6,147.725,-117.125,90,top
U5,LTC4007,SSOP-24_3.9x8.7mm_P0.635mm,150.15,-102.875,0,top
U7,TPS70933DBV,SOT-23-5,155.15,-112.8,0,top
