Reference, Quantity, Value, Buy Digikey, Digikey, LCSC, Mouser
0,1,0,Buy,36-240-ND,,
7.4_1 7.4_2 ,2,7.4,Buy,36-240-ND,,
C1 C7 C11 C15 C16 ,5,10uF,skip,490-7202-1-ND,C96446,
C10 ,1,1nF,skip,478-1101-2-ND,C1523,
C14 C25 ,2,4.7uF,skip,"	1276-1900-1-ND",C152896,
C17 ,1,0.47uF,skip,490-12269-1-ND,C47339,
C2 C3 C4 C5 C13 C18 ,6,0.1uF,skip,732-7495-1-ND,C155422,
C20 ,1,15nF,skip,"	311-1713-1-ND",C114405,
C21 ,1,4.7nF,skip,"	311-1039-1-ND",C1538,
C22 C23 ,2,22uF,skip,1276-7076-1-ND,C2835567,
C6 C8 C9 C12 C19 C24 ,6,1uF,skip,"	490-10017-1-ND",C52923,
D1 D2 ,2,30V 5A,skip,SK56A-LTPMSTR-ND,C173517,
D3 D4 ,2,60V 3A,skip,SSA36CT-ND,C282393,
J8 ,1, ‎SAM16035-ND‎,skip: SAMTEC,"	SAM11993-ND",,
J9 ,1,Molex 087340-1424,Buy: limited,"	23-0873401424-ND",,
L1 ,1,4.7uH,skip,"	490-10651-1-ND",C391306,
L2 L3 ,2,10uH,skip,1589-MPL-SE6040-100CT-ND,C354610,
Q1 Q2 Q3 Q6 ,4,FDC645N,Buy: Substitute,FDC655BNCT-ND ,C241775,
Q4 Q5 ,2,Si3483CDV,Buy: Substitute,CPH6350-TL-WOSCT-ND,C727455,
R1 R2 R3 R4 R5 R6 R13 ,7,1K,skip,YAG1234CT-ND,C11702,
R10 R15 R17 R32 TH1 TH2 ,6,10K,skip,"	311-10.0KLRCT-ND",C25744,
R11 R12 R14 ,3,1M,skip,311-1.00MLRCT-ND,C26083,
R18 ,1,470K,skip,311-470KJRCT-ND,C25790,
R19 ,1,390K,skip,YAG3143CT-ND,C25782,
R20 ,1,887K,skip,YAG5696CT-ND,C423127,
R21 ,1,110K,skip,311-110KLRCT-ND,C25745,
R22 ,1,32.4K,skip,YAG3119CT-ND,C26974,
R24 ,1,309K,skip,YAG3108CT-ND,C122546,
R25 ,1,6.04K,skip,YAG2293CT-ND,C25913,
R26 R27 ,2,3.01K,skip,"	311-3.01KLRCT-ND",C25889,
R28 ,1,4.99K,skip,YAG1447CT-ND,C25903,
R29 ,1,0.25,skip,311-0.25ANCT-ND,C327073,
R30 ,1,26.7K,skip,"	YAG3081CT-ND",C25876,
R31 ,1,0.05,skip,MCS1632R050FERCT-ND,C127691,
R34 ,1,300K,skip,311-300KLRCT-ND,C25774,
R7 R16 R23 R33 ,4,100K,skip,311-100KLRCT-ND,C25741,
R8 ,1,0.02,skip,WSLP-.02CT-ND,C127690,
R9 ,1,15K,skip,311-15.0KLRTR-ND,C25756,
U1 ,1,AP63205,Buy: No stock,AP63205WU-7DICT-ND,C2071056,
U2 U7 ,2,TPS70933DBV,Buy: substitute,497-6979-1-ND,C89347,
U3 ,1,BQ77915,Buy: No stock,296-50995-1-ND,C2905736,
U4 ,1,LTC6994CS6-1,Buy: No stock,LTC6994CS6-1#TRMPBFCT-ND,C690025,
U5 ,1,LTC4007,Buy: No stock,"	LTC4007EGN#PBF-ND",C687118,
U6 ,1,MP3213,Buy: Mouser,1589-1626-1-ND,,MP3213DH-LF-Z
U8 ,1,MCP3221,Buy,MCP3221A6T-E/OTCT-ND,C36310,
ANT,1,,Buy,478-13411-ND,,
Coil,2,,Buy,732-760308105214-ND,,
Cable 12V,0.5,,Buy,WM25258-ND,,
Cable 5V,1,S1SS-10-28C-GF-06.00-L1,skip:SAMTEC,,,
