Comment,Designator,Footprint,LCSC
"0.0","0.0","Custom:TruHole_Batter_Contact_Pad_with_9mm_clear",""
"11.1","11.1","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm",""
"12V_OUT","12V_OUT1","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm",""
"3.4","3.4","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm",""
"7.4","7.4_1,7.4_2","Custom:TruHole_Batter_Contact_Pad_with_9mm_clear",""
"10uF","C1,C7,C11,C15,C16","Capacitor_SMD:C_0603_1608Metric","C96446"
"1nF","C10","Capacitor_SMD:C_0402_1005Metric","C1523"
"4.7uF","C14,C25","Capacitor_SMD:C_0603_1608Metric","C152896"
"0.47uF","C17","Capacitor_SMD:C_0402_1005Metric","C47339"
"0.1uF","C2,C3,C4,C5,C13,C18","Capacitor_SMD:C_0402_1005Metric","C155422"
"15nF","C20","Capacitor_SMD:C_0402_1005Metric","C114405"
"4.7nF","C21","Capacitor_SMD:C_0402_1005Metric","C1538"
"22uF","C22,C23","Capacitor_SMD:C_0603_1608Metric","C2835567"
"1uF","C6,C8,C9,C12,C19,C24","Capacitor_SMD:C_0402_1005Metric","C52923"
"30V 5A","D1,D2","Diode_SMD:D_SMA","C173517"
"60V 3A","D3,D4","Custom:D_SOD-123EP","C282393"
"GND_OUT","GND_OUT1","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm",""
" ‎SAM16035-ND‎","J8","Custom:SAMTEC_T1M-10-F-SH-L-K",""
"Molex 087340-1424","J9","Custom:Molex_87340-1424_B",""
"4.7uH","L1","Inductor_SMD:L_1008_2520Metric","C391306"
"10uH","L2,L3","Custom:Inductor5x5mm","C354610"
"FDC645N","Q1,Q2,Q3,Q6","Custom:SOT-23-6_mosfet","C241775"
"Si3483CDV","Q4,Q5","Custom:SOT-23-6_mosfet","C727455"
"1K","R1,R2,R3,R4,R5,R6,R13","Resistor_SMD:R_0402_1005Metric","C11702"
"10K","TH1,TH2,R10,R15,R17,R32","Resistor_SMD:R_0402_1005Metric","C25744"
"1M","R11,R12,R14","Resistor_SMD:R_0402_1005Metric","C26083"
"470K","R18","Resistor_SMD:R_0402_1005Metric","C25790"
"390K","R19","Resistor_SMD:R_0402_1005Metric","C25782"
"887K","R20","Resistor_SMD:R_0402_1005Metric","C423127"
"110K","R21","Resistor_SMD:R_0402_1005Metric","C25745"
"32.4K","R22","Resistor_SMD:R_0402_1005Metric","C26974"
"309K","R24","Resistor_SMD:R_0402_1005Metric","C122546"
"6.04K","R25","Resistor_SMD:R_0402_1005Metric","C25913"
"3.01K","R26,R27","Resistor_SMD:R_0402_1005Metric","C25889"
"4.99K","R28","Resistor_SMD:R_0402_1005Metric","C25903"
"0.25","R29","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C327073"
"26.7K","R30","Resistor_SMD:R_0402_1005Metric","C25876"
"0.05","R31","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C127691"
"300K","R34","Resistor_SMD:R_0402_1005Metric","C25774"
"DNP","R35,R36","Resistor_SMD:R_0402_1005Metric",""
"100K","R7,R16,R23,R33","Resistor_SMD:R_0402_1005Metric","C25741"
"0.02","R8","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C127690"
"15K","R9","Resistor_SMD:R_0402_1005Metric","C25756"
"AP63205","U1","Package_TO_SOT_SMD:TSOT-23-6","C2071056"
"TPS70933DBV","U2,U7","Package_TO_SOT_SMD:SOT-23-5","C89347"
"BQ77915","U3","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","C2905736"
"LTC6994CS6-1","U4","Package_TO_SOT_SMD:TSOT-23-6","C690025"
"LTC4007","U5","Package_SO:SSOP-24_3.9x8.7mm_P0.635mm","C687118"
"MP3213","U6","Package_SO:MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm",""
"MCP3221","U8","Package_TO_SOT_SMD:SOT-23-5","C36310"
