Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,110.4,-130.305,90,top
C2,0.1uF,C_0402_1005Metric,119.129978,-144.1975,150,top
C3,0.1uF,C_0402_1005Metric,135.9,-143.84,-150,top
C4,0.1uF,C_0402_1005Metric,143.8,-128.89,-90,top
C5,0.1uF,C_0402_1005Metric,134.8,-114.64,-30,top
C6,0.1uF,C_0402_1005Metric,125.4,-113.19,0,top
C7,0.1uF,C_0402_1005Metric,117.5,-115.84,30,top
D1,LED_RG,PinHeader_1x03_P2.00mm_Vertical,129.25,-115.29,-90,top
J1,T1M-06-X-DV,SAMTEC_T1M-06-X-DV,127,-141.54,180,top
R1,300,R_0402_1005Metric,131.75,-115.69,180,top
R2,200,R_0402_1005Metric,127.4,-113.19,180,top
U6,DRV5053_LPG,TO-92Flat,125.7046,-111.34,0,top
