Reference, Quantity, Value, Buy Digikey, Digikey, LCSC, Mouser
BZ1 ,1,Buzzer,skip,668-1466-ND,C968749,
C1 C2 ,2,1.0uF,skip,1276-1102-1-ND,C90540,
J1 ,1,T1M-10-F-SV-L,skip: SAMTEC,SAM16035-ND,,
J2 ,1,Conn_02x20_Odd_Even,Buy,952-3218-ND,,
J3 ,1,T1M-06-X-DV,skip: SAMTEC,,,
J4 ,1,Screw_Terminal_01x10,Buy,ED10567-ND,,
J5 ,1,Conn_01x02,Buy,WM6264CT-ND,,
J6 ,1,Conn_01x03,Buy,WM1886CT-ND,,
R1 R2 ,2,10K,skip,RNCP0603FTD10K0CT-ND,C25804,
U1 ,1,DRV2605LDGS,Buy: Mouser,296-40032-1-ND,C527464,595-DRV2605LDGSR
Motor,1,,Buy,1670-VC1234B016F-ND,,
